areaCode,areaName,areaType,date,cumCasesByPublishDate
E12000001,North East,region,2022-12-22,1026159
E12000001,North East,region,2022-12-21,1024631
E12000001,North East,region,2022-12-20,1024631
E12000001,North East,region,2022-12-19,1024631
E12000001,North East,region,2022-12-18,1024631
E12000001,North East,region,2022-12-17,1024631
E12000001,North East,region,2022-12-16,1024631
E12000001,North East,region,2022-12-15,1024631
E12000001,North East,region,2022-12-14,1023436
E12000001,North East,region,2022-12-13,1023436
E12000001,North East,region,2022-12-12,1023436
E12000001,North East,region,2022-12-11,1023436
E12000001,North East,region,2022-12-10,1023436
E12000001,North East,region,2022-12-09,1023436
E12000001,North East,region,2022-12-08,1023436
E12000001,North East,region,2022-12-07,1022305
E12000001,North East,region,2022-12-06,1022305
E12000001,North East,region,2022-12-05,1022305
E12000001,North East,region,2022-12-04,1022305
E12000001,North East,region,2022-12-03,1022305
E12000001,North East,region,2022-12-02,1022305
E12000001,North East,region,2022-12-01,1022305
E12000001,North East,region,2022-11-30,1021352
E12000001,North East,region,2022-11-29,1021352
E12000001,North East,region,2022-11-28,1021352
E12000001,North East,region,2022-11-27,1021352
E12000001,North East,region,2022-11-26,1021352
E12000001,North East,region,2022-11-25,1021352
E12000001,North East,region,2022-11-24,1021352
E12000001,North East,region,2022-11-23,1020524
E12000001,North East,region,2022-11-22,1020524
E12000001,North East,region,2022-11-21,1020524
E12000001,North East,region,2022-11-20,1020524
E12000001,North East,region,2022-11-19,1020524
E12000001,North East,region,2022-11-18,1020524
E12000001,North East,region,2022-11-17,1020524
E12000001,North East,region,2022-11-16,1019584
E12000001,North East,region,2022-11-15,1019584
E12000001,North East,region,2022-11-14,1019584
E12000001,North East,region,2022-11-13,1019584
E12000001,North East,region,2022-11-12,1019584
E12000001,North East,region,2022-11-11,1019584
E12000001,North East,region,2022-11-10,1019584
E12000001,North East,region,2022-11-09,1018528
E12000001,North East,region,2022-11-08,1018528
E12000001,North East,region,2022-11-07,1018528
E12000001,North East,region,2022-11-06,1018528
E12000001,North East,region,2022-11-05,1018528
E12000001,North East,region,2022-11-04,1018528
E12000001,North East,region,2022-11-03,1018528
E12000001,North East,region,2022-11-02,1017144
E12000001,North East,region,2022-11-01,1017144
E12000001,North East,region,2022-10-31,1017144
E12000001,North East,region,2022-10-30,1017144
E12000001,North East,region,2022-10-29,1017144
E12000001,North East,region,2022-10-28,1017144
E12000001,North East,region,2022-10-27,1017144
E12000001,North East,region,2022-10-26,1015207
E12000001,North East,region,2022-10-25,1015207
E12000001,North East,region,2022-10-24,1015207
E12000001,North East,region,2022-10-23,1015207
E12000001,North East,region,2022-10-22,1015207
E12000001,North East,region,2022-10-21,1015207
E12000001,North East,region,2022-10-20,1015207
E12000001,North East,region,2022-10-19,1012784
E12000001,North East,region,2022-10-18,1012784
E12000001,North East,region,2022-10-17,1012784
E12000001,North East,region,2022-10-16,1012784
E12000001,North East,region,2022-10-15,1012784
E12000001,North East,region,2022-10-14,1012784
E12000001,North East,region,2022-10-13,1012784
E12000001,North East,region,2022-10-12,1009935
E12000001,North East,region,2022-10-11,1009935
E12000001,North East,region,2022-10-10,1009935
E12000001,North East,region,2022-10-09,1009935
E12000001,North East,region,2022-10-08,1009935
E12000001,North East,region,2022-10-07,1009935
E12000001,North East,region,2022-10-06,1009935
E12000001,North East,region,2022-10-05,1007081
E12000001,North East,region,2022-10-04,1007081
E12000001,North East,region,2022-10-03,1007081
E12000001,North East,region,2022-10-02,1007081
E12000001,North East,region,2022-10-01,1007081
E12000001,North East,region,2022-09-30,1007081
E12000001,North East,region,2022-09-29,1007081
E12000001,North East,region,2022-09-28,1004571
E12000001,North East,region,2022-09-27,1004571
E12000001,North East,region,2022-09-26,1004571
E12000001,North East,region,2022-09-25,1004571
E12000001,North East,region,2022-09-24,1004571
E12000001,North East,region,2022-09-23,1004571
E12000001,North East,region,2022-09-22,1004571
E12000001,North East,region,2022-09-21,1002700
E12000001,North East,region,2022-09-20,1002700
E12000001,North East,region,2022-09-19,1002700
E12000001,North East,region,2022-09-18,1002700
E12000001,North East,region,2022-09-17,1002700
E12000001,North East,region,2022-09-16,1002700
E12000001,North East,region,2022-09-15,1002700
E12000001,North East,region,2022-09-14,1001169
E12000001,North East,region,2022-09-13,1001169
E12000001,North East,region,2022-09-12,1001169
E12000001,North East,region,2022-09-11,1001169
E12000001,North East,region,2022-09-10,1001169
E12000001,North East,region,2022-09-09,1001169
E12000001,North East,region,2022-09-08,1001169
E12000001,North East,region,2022-09-07,999695
E12000001,North East,region,2022-09-06,999695
E12000001,North East,region,2022-09-05,999695
E12000001,North East,region,2022-09-04,999695
E12000001,North East,region,2022-09-03,999695
E12000001,North East,region,2022-09-02,999695
E12000001,North East,region,2022-09-01,999695
E12000001,North East,region,2022-08-31,999695
E12000001,North East,region,2022-08-30,998381
E12000001,North East,region,2022-08-29,998381
E12000001,North East,region,2022-08-28,998381
E12000001,North East,region,2022-08-27,998381
E12000001,North East,region,2022-08-26,998381
E12000001,North East,region,2022-08-25,998381
E12000001,North East,region,2022-08-24,998381
E12000001,North East,region,2022-08-23,997057
E12000001,North East,region,2022-08-22,997057
E12000001,North East,region,2022-08-21,997057
E12000001,North East,region,2022-08-20,997057
E12000001,North East,region,2022-08-19,997057
E12000001,North East,region,2022-08-18,997057
E12000001,North East,region,2022-08-17,997057
E12000001,North East,region,2022-08-16,995316
E12000001,North East,region,2022-08-15,995316
E12000001,North East,region,2022-08-14,995316
E12000001,North East,region,2022-08-13,995316
E12000001,North East,region,2022-08-12,995316
E12000001,North East,region,2022-08-11,995316
E12000001,North East,region,2022-08-10,995316
E12000001,North East,region,2022-08-09,993126
E12000001,North East,region,2022-08-08,993126
E12000001,North East,region,2022-08-07,993126
E12000001,North East,region,2022-08-06,993126
E12000001,North East,region,2022-08-05,993126
E12000001,North East,region,2022-08-04,993126
E12000001,North East,region,2022-08-03,993126
E12000001,North East,region,2022-08-02,990366
E12000001,North East,region,2022-08-01,990366
E12000001,North East,region,2022-07-31,990366
E12000001,North East,region,2022-07-30,990366
E12000001,North East,region,2022-07-29,990366
E12000001,North East,region,2022-07-28,990366
E12000001,North East,region,2022-07-27,990366
E12000001,North East,region,2022-07-26,986552
E12000001,North East,region,2022-07-25,986552
E12000001,North East,region,2022-07-24,986552
E12000001,North East,region,2022-07-23,986552
E12000001,North East,region,2022-07-22,986552
E12000001,North East,region,2022-07-21,986552
E12000001,North East,region,2022-07-20,986552
E12000001,North East,region,2022-07-19,980983
E12000001,North East,region,2022-07-18,980983
E12000001,North East,region,2022-07-17,980983
E12000001,North East,region,2022-07-16,980983
E12000001,North East,region,2022-07-15,980983
E12000001,North East,region,2022-07-14,980983
E12000001,North East,region,2022-07-13,980983
E12000001,North East,region,2022-07-12,973904
E12000001,North East,region,2022-07-11,973904
E12000001,North East,region,2022-07-10,973904
E12000001,North East,region,2022-07-09,973904
E12000001,North East,region,2022-07-08,973904
E12000001,North East,region,2022-07-07,973904
E12000001,North East,region,2022-07-06,973904
E12000001,North East,region,2022-07-05,968899
E12000001,North East,region,2022-07-04,968899
E12000001,North East,region,2022-07-03,968899
E12000001,North East,region,2022-07-02,968899
E12000001,North East,region,2022-07-01,968899
E12000001,North East,region,2022-06-30,968089
E12000001,North East,region,2022-06-29,967107
E12000001,North East,region,2022-06-28,966134
E12000001,North East,region,2022-06-27,965165
E12000001,North East,region,2022-06-26,962770
E12000001,North East,region,2022-06-25,962770
E12000001,North East,region,2022-06-24,962770
E12000001,North East,region,2022-06-23,961976
E12000001,North East,region,2022-06-22,961151
E12000001,North East,region,2022-06-21,960198
E12000001,North East,region,2022-06-20,959333
E12000001,North East,region,2022-06-19,957541
E12000001,North East,region,2022-06-18,957541
E12000001,North East,region,2022-06-17,957541
E12000001,North East,region,2022-06-16,956904
E12000001,North East,region,2022-06-15,956285
E12000001,North East,region,2022-06-14,955565
E12000001,North East,region,2022-06-13,954913
E12000001,North East,region,2022-06-12,953472
E12000001,North East,region,2022-06-11,953472
E12000001,North East,region,2022-06-10,953472
E12000001,North East,region,2022-06-09,952983
E12000001,North East,region,2022-06-08,952476
E12000001,North East,region,2022-06-07,952004
E12000001,North East,region,2022-06-06,951474
E12000001,North East,region,2022-06-05,950099
E12000001,North East,region,2022-06-04,950099
E12000001,North East,region,2022-06-03,950099
E12000001,North East,region,2022-06-02,950099
E12000001,North East,region,2022-06-01,950099
E12000001,North East,region,2022-05-31,949872
E12000001,North East,region,2022-05-30,949593
E12000001,North East,region,2022-05-29,948928
E12000001,North East,region,2022-05-28,948928
E12000001,North East,region,2022-05-27,948928
E12000001,North East,region,2022-05-26,948705
E12000001,North East,region,2022-05-25,948437
E12000001,North East,region,2022-05-24,948144
E12000001,North East,region,2022-05-23,947798
E12000001,North East,region,2022-05-22,947038
E12000001,North East,region,2022-05-21,947038
E12000001,North East,region,2022-05-20,947038
E12000001,North East,region,2022-05-19,946690
E12000001,North East,region,2022-05-18,946370
E12000001,North East,region,2022-05-17,945977
E12000001,North East,region,2022-05-16,945544
E12000001,North East,region,2022-05-15,944621
E12000001,North East,region,2022-05-14,944621
E12000001,North East,region,2022-05-13,944621
E12000001,North East,region,2022-05-12,944252
E12000001,North East,region,2022-05-11,943855
E12000001,North East,region,2022-05-10,943392
E12000001,North East,region,2022-05-09,942882
E12000001,North East,region,2022-05-08,941733
E12000001,North East,region,2022-05-07,941733
E12000001,North East,region,2022-05-06,941733
E12000001,North East,region,2022-05-05,941177
E12000001,North East,region,2022-05-04,940567
E12000001,North East,region,2022-05-03,939729
E12000001,North East,region,2022-05-02,938049
E12000001,North East,region,2022-05-01,938049
E12000001,North East,region,2022-04-30,938049
E12000001,North East,region,2022-04-29,938049
E12000001,North East,region,2022-04-28,937492
E12000001,North East,region,2022-04-27,936908
E12000001,North East,region,2022-04-26,935329
E12000001,North East,region,2022-04-25,935329
E12000001,North East,region,2022-04-24,933139
E12000001,North East,region,2022-04-23,933139
E12000001,North East,region,2022-04-22,933139
E12000001,North East,region,2022-04-21,932283
E12000001,North East,region,2022-04-20,931238
E12000001,North East,region,2022-04-19,930082
E12000001,North East,region,2022-04-18,924983
E12000001,North East,region,2022-04-17,924983
E12000001,North East,region,2022-04-16,924983
E12000001,North East,region,2022-04-15,924983
E12000001,North East,region,2022-04-14,924983
E12000001,North East,region,2022-04-13,923515
E12000001,North East,region,2022-04-12,921994
E12000001,North East,region,2022-04-11,920223
E12000001,North East,region,2022-04-10,916523
E12000001,North East,region,2022-04-09,916523
E12000001,North East,region,2022-04-08,916523
E12000001,North East,region,2022-04-07,914716
E12000001,North East,region,2022-04-06,912686
E12000001,North East,region,2022-04-05,910389
E12000001,North East,region,2022-04-04,908165
E12000001,North East,region,2022-04-03,902347
E12000001,North East,region,2022-04-02,902347
E12000001,North East,region,2022-04-01,902347
E12000001,North East,region,2022-03-31,899346
E12000001,North East,region,2022-03-30,896324
E12000001,North East,region,2022-03-29,892472
E12000001,North East,region,2022-03-28,889514
E12000001,North East,region,2022-03-27,881312
E12000001,North East,region,2022-03-26,881312
E12000001,North East,region,2022-03-25,881312
E12000001,North East,region,2022-03-24,878598
E12000001,North East,region,2022-03-23,874664
E12000001,North East,region,2022-03-22,870897
E12000001,North East,region,2022-03-21,868013
E12000001,North East,region,2022-03-20,861190
E12000001,North East,region,2022-03-19,861190
E12000001,North East,region,2022-03-18,861190
E12000001,North East,region,2022-03-17,858664
E12000001,North East,region,2022-03-16,855912
E12000001,North East,region,2022-03-15,853085
E12000001,North East,region,2022-03-14,850853
E12000001,North East,region,2022-03-13,845603
E12000001,North East,region,2022-03-12,845603
E12000001,North East,region,2022-03-11,845603
E12000001,North East,region,2022-03-10,844120
E12000001,North East,region,2022-03-09,842462
E12000001,North East,region,2022-03-08,840852
E12000001,North East,region,2022-03-07,839400
E12000001,North East,region,2022-03-06,836575
E12000001,North East,region,2022-03-05,836575
E12000001,North East,region,2022-03-04,836575
E12000001,North East,region,2022-03-03,835418
E12000001,North East,region,2022-03-02,834385
E12000001,North East,region,2022-03-01,833223
E12000001,North East,region,2022-02-28,832263
E12000001,North East,region,2022-02-27,830171
E12000001,North East,region,2022-02-26,830171
E12000001,North East,region,2022-02-25,830171
E12000001,North East,region,2022-02-24,829370
E12000001,North East,region,2022-02-23,828440
E12000001,North East,region,2022-02-22,827472
E12000001,North East,region,2022-02-21,826557
E12000001,North East,region,2022-02-20,825723
E12000001,North East,region,2022-02-19,824834
E12000001,North East,region,2022-02-18,823743
E12000001,North East,region,2022-02-17,822413
E12000001,North East,region,2022-02-16,820917
E12000001,North East,region,2022-02-15,819386
E12000001,North East,region,2022-02-14,817919
E12000001,North East,region,2022-02-13,816637
E12000001,North East,region,2022-02-12,815473
E12000001,North East,region,2022-02-11,814056
E12000001,North East,region,2022-02-10,812403
E12000001,North East,region,2022-02-09,810348
E12000001,North East,region,2022-02-08,808207
E12000001,North East,region,2022-02-07,805996
E12000001,North East,region,2022-02-06,804168
E12000001,North East,region,2022-02-05,802375
E12000001,North East,region,2022-02-04,800129
E12000001,North East,region,2022-02-03,797323
E12000001,North East,region,2022-02-02,794012
E12000001,North East,region,2022-02-01,790430
E12000001,North East,region,2022-01-31,785714
E12000001,North East,region,2022-01-30,737063
E12000001,North East,region,2022-01-29,734860
E12000001,North East,region,2022-01-28,732042
E12000001,North East,region,2022-01-27,728618
E12000001,North East,region,2022-01-26,724758
E12000001,North East,region,2022-01-25,720343
E12000001,North East,region,2022-01-24,716109
E12000001,North East,region,2022-01-23,712383
E12000001,North East,region,2022-01-22,708838
E12000001,North East,region,2022-01-21,705024
E12000001,North East,region,2022-01-20,700177
E12000001,North East,region,2022-01-19,694940
E12000001,North East,region,2022-01-18,689037
E12000001,North East,region,2022-01-17,683228
E12000001,North East,region,2022-01-16,678831
E12000001,North East,region,2022-01-15,674578
E12000001,North East,region,2022-01-14,669704
E12000001,North East,region,2022-01-13,663797
E12000001,North East,region,2022-01-12,656347
E12000001,North East,region,2022-01-11,646360
E12000001,North East,region,2022-01-10,638726
E12000001,North East,region,2022-01-09,630526
E12000001,North East,region,2022-01-08,620359
E12000001,North East,region,2022-01-07,613152
E12000001,North East,region,2022-01-06,602990
E12000001,North East,region,2022-01-05,592993
E12000001,North East,region,2022-01-04,583084
E12000001,North East,region,2022-01-03,572832
E12000001,North East,region,2022-01-02,565521
E12000001,North East,region,2022-01-01,558047
E12000001,North East,region,2021-12-31,547112
E12000001,North East,region,2021-12-30,540121
E12000001,North East,region,2021-12-29,533871
E12000001,North East,region,2021-12-28,528624
E12000001,North East,region,2021-12-27,524285
E12000001,North East,region,2021-12-26,521095
E12000001,North East,region,2021-12-25,517590
E12000001,North East,region,2021-12-24,514234
E12000001,North East,region,2021-12-23,511292
E12000001,North East,region,2021-12-22,508497
E12000001,North East,region,2021-12-21,506221
E12000001,North East,region,2021-12-20,503899
E12000001,North East,region,2021-12-19,502197
E12000001,North East,region,2021-12-18,500695
E12000001,North East,region,2021-12-17,499192
E12000001,North East,region,2021-12-16,496679
E12000001,North East,region,2021-12-15,494925
E12000001,North East,region,2021-12-14,493165
E12000001,North East,region,2021-12-13,491774
E12000001,North East,region,2021-12-12,490416
E12000001,North East,region,2021-12-11,489204
E12000001,North East,region,2021-12-10,487516
E12000001,North East,region,2021-12-09,485474
E12000001,North East,region,2021-12-08,483978
E12000001,North East,region,2021-12-07,482538
E12000001,North East,region,2021-12-06,481125
E12000001,North East,region,2021-12-05,480087
E12000001,North East,region,2021-12-04,478650
E12000001,North East,region,2021-12-03,477161
E12000001,North East,region,2021-12-02,475470
E12000001,North East,region,2021-12-01,474432
E12000001,North East,region,2021-11-30,472546
E12000001,North East,region,2021-11-29,470936
E12000001,North East,region,2021-11-28,469578
E12000001,North East,region,2021-11-27,468327
E12000001,North East,region,2021-11-26,467118
E12000001,North East,region,2021-11-25,465455
E12000001,North East,region,2021-11-24,464343
E12000001,North East,region,2021-11-23,462623
E12000001,North East,region,2021-11-22,460477
E12000001,North East,region,2021-11-21,458842
E12000001,North East,region,2021-11-20,457587
E12000001,North East,region,2021-11-19,456085
E12000001,North East,region,2021-11-18,454529
E12000001,North East,region,2021-11-17,452975
E12000001,North East,region,2021-11-16,451474
E12000001,North East,region,2021-11-15,450343
E12000001,North East,region,2021-11-14,448958
E12000001,North East,region,2021-11-13,447454
E12000001,North East,region,2021-11-12,445973
E12000001,North East,region,2021-11-11,444433
E12000001,North East,region,2021-11-10,442875
E12000001,North East,region,2021-11-09,441289
E12000001,North East,region,2021-11-08,439723
E12000001,North East,region,2021-11-07,438624
E12000001,North East,region,2021-11-06,437402
E12000001,North East,region,2021-11-05,436079
E12000001,North East,region,2021-11-04,434407
E12000001,North East,region,2021-11-03,432876
E12000001,North East,region,2021-11-02,431260
E12000001,North East,region,2021-11-01,429501
E12000001,North East,region,2021-10-31,427682
E12000001,North East,region,2021-10-30,426063
E12000001,North East,region,2021-10-29,424140
E12000001,North East,region,2021-10-28,422069
E12000001,North East,region,2021-10-27,420185
E12000001,North East,region,2021-10-26,418110
E12000001,North East,region,2021-10-25,416260
E12000001,North East,region,2021-10-24,414830
E12000001,North East,region,2021-10-23,413220
E12000001,North East,region,2021-10-22,410867
E12000001,North East,region,2021-10-21,408830
E12000001,North East,region,2021-10-20,406574
E12000001,North East,region,2021-10-19,404756
E12000001,North East,region,2021-10-18,402742
E12000001,North East,region,2021-10-17,401074
E12000001,North East,region,2021-10-16,399512
E12000001,North East,region,2021-10-15,397792
E12000001,North East,region,2021-10-14,396036
E12000001,North East,region,2021-10-13,393870
E12000001,North East,region,2021-10-12,392125
E12000001,North East,region,2021-10-11,390211
E12000001,North East,region,2021-10-10,388907
E12000001,North East,region,2021-10-09,387352
E12000001,North East,region,2021-10-08,385972
E12000001,North East,region,2021-10-07,384421
E12000001,North East,region,2021-10-06,382703
E12000001,North East,region,2021-10-05,381263
E12000001,North East,region,2021-10-04,379862
E12000001,North East,region,2021-10-03,378590
E12000001,North East,region,2021-10-02,377509
E12000001,North East,region,2021-10-01,376208
E12000001,North East,region,2021-09-30,375086
E12000001,North East,region,2021-09-29,373869
E12000001,North East,region,2021-09-28,372508
E12000001,North East,region,2021-09-27,370781
E12000001,North East,region,2021-09-26,369466
E12000001,North East,region,2021-09-25,368244
E12000001,North East,region,2021-09-24,367123
E12000001,North East,region,2021-09-23,365691
E12000001,North East,region,2021-09-22,364219
E12000001,North East,region,2021-09-21,362673
E12000001,North East,region,2021-09-20,361443
E12000001,North East,region,2021-09-19,360011
E12000001,North East,region,2021-09-18,358968
E12000001,North East,region,2021-09-17,357694
E12000001,North East,region,2021-09-16,356381
E12000001,North East,region,2021-09-15,355138
E12000001,North East,region,2021-09-14,353891
E12000001,North East,region,2021-09-13,352598
E12000001,North East,region,2021-09-12,351525
E12000001,North East,region,2021-09-11,350405
E12000001,North East,region,2021-09-10,348811
E12000001,North East,region,2021-09-09,346985
E12000001,North East,region,2021-09-08,345417
E12000001,North East,region,2021-09-07,343878
E12000001,North East,region,2021-09-06,342144
E12000001,North East,region,2021-09-05,340516
E12000001,North East,region,2021-09-04,339253
E12000001,North East,region,2021-09-03,337655
E12000001,North East,region,2021-09-02,336323
E12000001,North East,region,2021-09-01,334597
E12000001,North East,region,2021-08-31,333320
E12000001,North East,region,2021-08-30,332297
E12000001,North East,region,2021-08-29,331231
E12000001,North East,region,2021-08-28,330338
E12000001,North East,region,2021-08-27,328885
E12000001,North East,region,2021-08-26,327584
E12000001,North East,region,2021-08-25,326134
E12000001,North East,region,2021-08-24,324731
E12000001,North East,region,2021-08-23,323674
E12000001,North East,region,2021-08-22,322439
E12000001,North East,region,2021-08-21,321247
E12000001,North East,region,2021-08-20,320056
E12000001,North East,region,2021-08-19,319008
E12000001,North East,region,2021-08-18,317748
E12000001,North East,region,2021-08-17,316570
E12000001,North East,region,2021-08-16,315489
E12000001,North East,region,2021-08-15,314500
E12000001,North East,region,2021-08-14,313680
E12000001,North East,region,2021-08-13,312455
E12000001,North East,region,2021-08-12,311330
E12000001,North East,region,2021-08-11,310223
E12000001,North East,region,2021-08-10,309089
E12000001,North East,region,2021-08-09,308047
E12000001,North East,region,2021-08-08,307142
E12000001,North East,region,2021-08-07,306185
E12000001,North East,region,2021-08-06,304938
E12000001,North East,region,2021-08-05,303541
E12000001,North East,region,2021-08-04,302390
E12000001,North East,region,2021-08-03,301096
E12000001,North East,region,2021-08-02,300267
E12000001,North East,region,2021-08-01,299358
E12000001,North East,region,2021-07-31,298323
E12000001,North East,region,2021-07-30,297042
E12000001,North East,region,2021-07-29,295572
E12000001,North East,region,2021-07-28,294074
E12000001,North East,region,2021-07-27,292644
E12000001,North East,region,2021-07-26,291379
E12000001,North East,region,2021-07-25,289936
E12000001,North East,region,2021-07-24,288414
E12000001,North East,region,2021-07-23,286584
E12000001,North East,region,2021-07-22,284472
E12000001,North East,region,2021-07-21,281941
E12000001,North East,region,2021-07-20,279104
E12000001,North East,region,2021-07-19,276103
E12000001,North East,region,2021-07-18,272944
E12000001,North East,region,2021-07-17,269055
E12000001,North East,region,2021-07-16,264601
E12000001,North East,region,2021-07-15,260642
E12000001,North East,region,2021-07-14,256945
E12000001,North East,region,2021-07-13,253498
E12000001,North East,region,2021-07-12,250085
E12000001,North East,region,2021-07-11,247073
E12000001,North East,region,2021-07-10,243347
E12000001,North East,region,2021-07-09,240429
E12000001,North East,region,2021-07-08,237168
E12000001,North East,region,2021-07-07,233863
E12000001,North East,region,2021-07-06,230864
E12000001,North East,region,2021-07-05,228022
E12000001,North East,region,2021-07-04,225511
E12000001,North East,region,2021-07-03,223213
E12000001,North East,region,2021-07-02,220744
E12000001,North East,region,2021-07-01,218506
E12000001,North East,region,2021-06-30,216010
E12000001,North East,region,2021-06-29,213618
E12000001,North East,region,2021-06-28,212179
E12000001,North East,region,2021-06-27,210174
E12000001,North East,region,2021-06-26,209012
E12000001,North East,region,2021-06-25,207595
E12000001,North East,region,2021-06-24,206423
E12000001,North East,region,2021-06-23,205315
E12000001,North East,region,2021-06-22,204220
E12000001,North East,region,2021-06-21,203506
E12000001,North East,region,2021-06-20,202658
E12000001,North East,region,2021-06-19,202017
E12000001,North East,region,2021-06-18,201275
E12000001,North East,region,2021-06-17,200642
E12000001,North East,region,2021-06-16,199995
E12000001,North East,region,2021-06-15,199428
E12000001,North East,region,2021-06-14,198910
E12000001,North East,region,2021-06-13,198497
E12000001,North East,region,2021-06-12,198196
E12000001,North East,region,2021-06-11,197748
E12000001,North East,region,2021-06-10,197433
E12000001,North East,region,2021-06-09,197113
E12000001,North East,region,2021-06-08,196811
E12000001,North East,region,2021-06-07,196569
E12000001,North East,region,2021-06-06,196359
E12000001,North East,region,2021-06-05,196193
E12000001,North East,region,2021-06-04,195954
E12000001,North East,region,2021-06-03,195800
E12000001,North East,region,2021-06-02,195687
E12000001,North East,region,2021-06-01,195565
E12000001,North East,region,2021-05-31,195487
E12000001,North East,region,2021-05-30,195404
E12000001,North East,region,2021-05-29,195284
E12000001,North East,region,2021-05-28,195190
E12000001,North East,region,2021-05-27,195093
E12000001,North East,region,2021-05-26,195020
E12000001,North East,region,2021-05-25,194928
E12000001,North East,region,2021-05-24,194862
E12000001,North East,region,2021-05-23,194792
E12000001,North East,region,2021-05-22,194736
E12000001,North East,region,2021-05-21,194666
E12000001,North East,region,2021-05-20,194605
E12000001,North East,region,2021-05-19,194528
E12000001,North East,region,2021-05-18,194454
E12000001,North East,region,2021-05-17,194585
E12000001,North East,region,2021-05-16,194513
E12000001,North East,region,2021-05-15,194459
E12000001,North East,region,2021-05-14,194376
E12000001,North East,region,2021-05-13,194302
E12000001,North East,region,2021-05-12,194194
E12000001,North East,region,2021-05-11,194118
E12000001,North East,region,2021-05-10,194017
E12000001,North East,region,2021-05-09,193940
E12000001,North East,region,2021-05-08,193857
E12000001,North East,region,2021-05-07,193760
E12000001,North East,region,2021-05-06,193705
E12000001,North East,region,2021-05-05,193608
E12000001,North East,region,2021-05-04,193503
E12000001,North East,region,2021-05-03,193419
E12000001,North East,region,2021-05-02,193356
E12000001,North East,region,2021-05-01,193302
E12000001,North East,region,2021-04-30,193222
E12000001,North East,region,2021-04-29,193130
E12000001,North East,region,2021-04-28,193036
E12000001,North East,region,2021-04-27,192947
E12000001,North East,region,2021-04-26,192818
E12000001,North East,region,2021-04-25,192730
E12000001,North East,region,2021-04-24,192661
E12000001,North East,region,2021-04-23,192604
E12000001,North East,region,2021-04-22,192509
E12000001,North East,region,2021-04-21,192410
E12000001,North East,region,2021-04-20,192292
E12000001,North East,region,2021-04-19,192209
E12000001,North East,region,2021-04-18,192100
E12000001,North East,region,2021-04-17,192037
E12000001,North East,region,2021-04-16,191956
E12000001,North East,region,2021-04-15,191866
E12000001,North East,region,2021-04-14,191772
E12000001,North East,region,2021-04-13,191713
E12000001,North East,region,2021-04-12,191596
E12000001,North East,region,2021-04-11,191412
E12000001,North East,region,2021-04-10,191349
E12000001,North East,region,2021-04-09,191281
E12000001,North East,region,2021-04-08,191451
E12000001,North East,region,2021-04-07,191328
E12000001,North East,region,2021-04-06,191189
E12000001,North East,region,2021-04-05,191115
E12000001,North East,region,2021-04-04,190997
E12000001,North East,region,2021-04-03,190903
E12000001,North East,region,2021-04-02,190737
E12000001,North East,region,2021-04-01,190603
E12000001,North East,region,2021-03-31,190361
E12000001,North East,region,2021-03-30,190086
E12000001,North East,region,2021-03-29,189934
E12000001,North East,region,2021-03-28,189520
E12000001,North East,region,2021-03-27,189482
E12000001,North East,region,2021-03-26,190058
E12000001,North East,region,2021-03-25,189630
E12000001,North East,region,2021-03-24,189190
E12000001,North East,region,2021-03-23,188823
E12000001,North East,region,2021-03-22,188500
E12000001,North East,region,2021-03-21,188286
E12000001,North East,region,2021-03-20,188054
E12000001,North East,region,2021-03-19,187783
E12000001,North East,region,2021-03-18,187490
E12000001,North East,region,2021-03-17,187115
E12000001,North East,region,2021-03-16,186855
E12000001,North East,region,2021-03-15,186604
E12000001,North East,region,2021-03-14,186303
E12000001,North East,region,2021-03-13,186084
E12000001,North East,region,2021-03-12,185825
E12000001,North East,region,2021-03-11,185392
E12000001,North East,region,2021-03-10,185095
E12000001,North East,region,2021-03-09,184750
E12000001,North East,region,2021-03-08,184462
E12000001,North East,region,2021-03-07,184156
E12000001,North East,region,2021-03-06,183939
E12000001,North East,region,2021-03-05,183633
E12000001,North East,region,2021-03-04,183351
E12000001,North East,region,2021-03-03,182984
E12000001,North East,region,2021-03-02,182577
E12000001,North East,region,2021-03-01,182272
E12000001,North East,region,2021-02-28,181996
E12000001,North East,region,2021-02-27,181670
E12000001,North East,region,2021-02-26,181210
E12000001,North East,region,2021-02-25,180791
E12000001,North East,region,2021-02-24,180371
E12000001,North East,region,2021-02-23,179888
E12000001,North East,region,2021-02-22,179420
E12000001,North East,region,2021-02-21,178850
E12000001,North East,region,2021-02-20,178553
E12000001,North East,region,2021-02-19,178036
E12000001,North East,region,2021-02-18,177418
E12000001,North East,region,2021-02-17,176855
E12000001,North East,region,2021-02-16,176073
E12000001,North East,region,2021-02-15,175527
E12000001,North East,region,2021-02-14,175006
E12000001,North East,region,2021-02-13,174509
E12000001,North East,region,2021-02-12,173886
E12000001,North East,region,2021-02-11,173138
E12000001,North East,region,2021-02-10,172391
E12000001,North East,region,2021-02-09,171805
E12000001,North East,region,2021-02-08,171096
E12000001,North East,region,2021-02-07,170519
E12000001,North East,region,2021-02-06,169851
E12000001,North East,region,2021-02-05,169101
E12000001,North East,region,2021-02-04,168270
E12000001,North East,region,2021-02-03,167273
E12000001,North East,region,2021-02-02,166373
E12000001,North East,region,2021-02-01,165620
E12000001,North East,region,2021-01-31,164905
E12000001,North East,region,2021-01-30,164019
E12000001,North East,region,2021-01-29,163225
